Player,Year,POS,club,GP,GS,MINS,G,A,G/90min,A/90min,GWG,GWA,HmG,RdG,HmA,RdA,base_salary,guaranteed_compensation,G+A
John Stertzer,2013,M,RSL,2,0,33,0,0,0.0,0.0,0,0,0,0,0,0,93000.0,150500.0,0
John Stertzer,2014,M,RSL,9,3,273,0,0,0.0,0.0,0,0,0,0,0,0,73000.0,91750.0,0
John Stertzer,2015,M,RSL,19,9,860,1,0,0.1,0.0,1,0,1,0,0,0,60000.0,69166.67,1
John Stertzer,2016,M,RSL,18,9,777,0,1,0.0,0.12,0,0,0,0,1,0,132000.0,150333.34,1
John Thorrington,2008,M,CHI,26,24,2151,5,1,0.24,0.05,3,1,3,2,0,1,120000.0,123750.0,6
John Thorrington,2009,M,CHI,21,21,1784,1,1,0.43,0.06,1,0,1,0,0,1,126000.0,129750.0,2
John Thorrington,2010,M,CHI,5,5,397,1,0,0.23,0.0,0,0,0,1,0,0,177000.0,189500.0,1
John Thorrington,2011,M,VAN,11,9,740,0,0,0.0,0.0,0,0,0,0,0,0,194700.0,207200.0,0
John Thorrington,2012,M,VAN,20,15,1189,0,1,0.0,0.08,0,0,0,0,1,0,340000.0,340000.0,1
John Valencia,2012,D,CHV,14,14,1219,0,0,0.0,0.0,0,0,0,0,0,0,50000.0,50000.0,0
Johnny Alcaraz,2008,M,HOU,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,25800.0,25800.0,0
Johnny Leveron,2013,D,VAN,18,18,1620,0,0,0.0,0.0,0,0,0,0,0,0,60000.0,71187.5,0
Johnny Leveron,2014,D,VAN,16,15,1394,0,0,0.0,0.0,0,0,0,0,0,0,80000.0,91187.5,0
Jonas Elmer,2013,D,TOR,3,1,128,0,0,0.0,0.0,0,0,0,0,0,0,124999.92,131488.2,0
Jonathan Campbell,2016,D,CHI,33,30,2823,1,1,0.03,0.03,0,1,1,0,1,0,70000.0,78125.0,2
Jonathan Campbell,2017,D,CHI,24,8,1009,0,0,0.0,0.0,0,0,0,0,0,0,203500.0,219750.0,0
Jonathan Leathers,2011,D,VAN,22,21,1840,0,0,0.0,0.0,0,0,0,0,0,0,42000.0,42000.0,0
Jonathan Mensah,2017,D,CLB,31,30,2649,2,1,0.08,0.04,1,0,2,0,0,1,1500000.0,1688000.0,3
Jonathan Osorio,2013,M,TOR,28,18,1697,5,1,0.27,0.05,0,1,5,0,1,0,46500.0,46500.0,6
Jonathan Osorio,2014,M,TOR,27,24,2039,3,4,0.13,0.18,0,2,1,2,2,2,135000.0,142599.68,7
Jonathan Osorio,2015,M,TOR,30,27,2305,1,7,0.04,0.28,0,2,0,1,7,0,290000.0,305199.36,8
Jonathan Osorio,2016,M,TOR,36,31,2845,4,5,0.51,0.18,3,1,2,2,3,2,333500.0,349141.36,9
Jonathan Osorio,2017,M,TOR,32,12,1365,2,4,0.17,0.34,0,0,2,0,2,2,383525.0,400474.26,6
Jonathan Spector,2017,D,ORL,25,25,2176,1,1,0.04,0.04,0,0,1,0,1,0,549996.0,611933.5,2
Jonathan Top,2011,F,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,84000.0,84000.0,0
Jonathan Top,2012,F,DAL,4,1,101,1,1,0.89,0.89,0,0,0,1,0,1,44100.0,44100.0,2
Jonathan Top,2013,F,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,46500.0,46500.0,0
Jonathan Top,2014,F,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,73000.0,73000.0,0
Jonny Steele,2012,M,RSL,29,11,1183,2,2,0.15,0.15,1,0,1,1,1,1,88000.0,95125.0,4
Jordan Morris,2016,F,SEA,40,38,3357,14,5,0.74,0.31,7,2,7,7,3,2,356000.0,381000.0,19
Jordan Morris,2017,F,SEA,25,22,1834,3,1,0.15,0.05,1,1,1,2,1,0,450000.0,475000.0,4
Jordan Russolillo,2007,D,CHI,2,1,46,0,0,0.0,0.0,0,0,0,0,0,0,25800.0,25800.0,0
Jordan Smith,2015,D,VAN,7,4,376,0,0,0.0,0.0,0,0,0,0,0,0,190000.08,205486.08,0
Jordan Smith,2016,D,VAN,17,15,1267,0,0,0.0,0.0,0,0,0,0,0,0,115000.0,122743.0,0
Jordy Delem,2017,M,SEA,16,10,850,0,1,0.0,0.12,0,0,0,0,0,1,106008.0,106008.0,1
Jorge Perlaza,2011,F,POR,31,26,2152,6,2,0.25,0.08,2,0,6,0,1,1,100000.0,115000.0,8
Jose Cancela,2007,M,COL,11,5,611,1,0,0.15,0.0,0,0,0,1,0,0,156000.0,156000.0,1
Jose Escalante,2017,M,HOU,3,0,24,0,0,0.0,0.0,0,0,0,0,0,0,106008.0,106008.0,0
